Submission Title,Submission Url,Desired Prizes,Table Number
Madhacks2,http://madhacks-heartbleed.devpost.com/submissions/78043-madhacks2,"""Objectively Human"" - Liberty Mutual",1
SnapFeels,http://madhacks-heartbleed.devpost.com/submissions/78107-snapfeels,"""Objectively Human"" - Liberty Mutual, Best Use of Microsoft Azure - Microsoft ",2
Snap Moments,http://madhacks-heartbleed.devpost.com/submissions/78135-snap-moments,"""Objectively Human"" - Liberty Mutual, Best Use of Microsoft Azure - Microsoft ",3
Faces for Physicians,http://madhacks-heartbleed.devpost.com/submissions/78126-faces-for-physicians,"""Objectively Human"" - Liberty Mutual, Maddest Hack, Best Use of Microsoft Azure - Microsoft ",4
MHPlayer,http://madhacks-heartbleed.devpost.com/submissions/78127-mhplayer,1st Time Hacker,5
Pawsitive Tales,http://madhacks-heartbleed.devpost.com/submissions/77931-pawsitive-tales,"1st Time Hacker, ""Objectively Human"" - Liberty Mutual, Best Domain Name from Domain.com",6
Mold Conditions Detector,http://madhacks-heartbleed.devpost.com/submissions/78099-mold-conditions-detector,"1st Time Hacker, ""Objectively Human"" - Liberty Mutual, Maddest Hack",7
ViSign,http://madhacks-heartbleed.devpost.com/submissions/78078-visign,"1st Time Hacker, Best BME Hack, ""Objectively Human"" - Liberty Mutual, Maddest Hack",8
ADHD Focus Game,http://madhacks-heartbleed.devpost.com/submissions/78131-adhd-focus-game,"1st Time Hacker, Best Use of Microsoft Azure - Microsoft ",9
AudioVision,http://madhacks-heartbleed.devpost.com/submissions/77794-audiovision,"Best BME Hack, ""Objectively Human"" - Liberty Mutual",10
RecoverCom,http://madhacks-heartbleed.devpost.com/submissions/78101-recovercom,"Best BME Hack, ""Objectively Human"" - Liberty Mutual",11
MYOnnaise,http://madhacks-heartbleed.devpost.com/submissions/78114-myonnaise,"Best BME Hack, ""Objectively Human"" - Liberty Mutual, Best Domain Name from Domain.com",12
VFIT,http://madhacks-heartbleed.devpost.com/submissions/78096-vfit,"Best BME Hack, ""Objectively Human"" - Liberty Mutual, Best Use of Microsoft Azure - Microsoft ",13
Alive,http://madhacks-heartbleed.devpost.com/submissions/78110-alive,"Best BME Hack, ""Objectively Human"" - Liberty Mutual, Best Use of Microsoft Azure - Microsoft ",14
timecard,http://madhacks-heartbleed.devpost.com/submissions/78133-timecard,"Best BME Hack, Best Use of Microsoft Azure - Microsoft ",15
Super Pineapple Thing,http://madhacks-heartbleed.devpost.com/submissions/78142-super-pineapple-thing,"Best Domain Name from Domain.com, Maddest Hack, Best Use of Microsoft Azure - Microsoft ",16
Blood Donate,http://madhacks-heartbleed.devpost.com/submissions/78112-blood-donate,Best InfoSec + BME Hack,17
CryptoPill,http://madhacks-heartbleed.devpost.com/submissions/78088-cryptopill,"Best InfoSec + BME Hack, ""Objectively Human"" - Liberty Mutual, Best Domain Name from Domain.com, Best Use of Microsoft Azure - Microsoft ",18
The Lard Rover,http://madhacks-heartbleed.devpost.com/submissions/77800-the-lard-rover,"Best InfoSec + BME Hack, 1st Time Hacker, ""Objectively Human"" - Liberty Mutual, Best Domain Name from Domain.com, Maddest Hack",19
A frustrating TicTacToe,http://madhacks-heartbleed.devpost.com/submissions/78094-a-frustrating-tictactoe,"Best InfoSec + BME Hack, 1st Time Hacker, ""Objectively Human"" - Liberty Mutual, Maddest Hack",20
SecureImageConverter,http://madhacks-heartbleed.devpost.com/submissions/78084-secureimageconverter,"Best InfoSec + BME Hack, Best InfoSec Hack, 1st Time Hacker, Best BME Hack, ""Objectively Human"" - Liberty Mutual, Maddest Hack",21
Viral Defender,http://madhacks-heartbleed.devpost.com/submissions/78120-viral-defender,Best InfoSec Hack,22
VoiceMan,http://madhacks-heartbleed.devpost.com/submissions/78130-voiceman,Best InfoSec Hack,23
Crypto Hacker,http://madhacks-heartbleed.devpost.com/submissions/78070-crypto-hacker,"Best InfoSec Hack, 1st Time Hacker, ""Objectively Human"" - Liberty Mutual",24
VARTIP,http://madhacks-heartbleed.devpost.com/submissions/78109-vartip,Best IoT Hack Using a Qualcomm Device,25
Library Digital Assistant,http://madhacks-heartbleed.devpost.com/submissions/78093-library-digital-assistant,Best Use of Microsoft Azure - Microsoft ,26
Emosong,http://madhacks-heartbleed.devpost.com/submissions/78173-emosong,Best Use of Microsoft Azure - Microsoft ,27
Healthy Diet,http://madhacks-heartbleed.devpost.com/submissions/78158-healthy-diet,Maddest Hack,28
Spider Sniper,http://madhacks-heartbleed.devpost.com/submissions/78163-spider-sniper,Maddest Hack,29
Just a second,http://madhacks-heartbleed.devpost.com/submissions/78067-just-a-second,,30
Emosong,http://madhacks-heartbleed.devpost.com/submissions/78082-emosong,,31
Musical Simon,http://madhacks-heartbleed.devpost.com/submissions/78089-musical-simon,,32
Working Title,http://madhacks-heartbleed.devpost.com/submissions/78098-working-title,,33
Medical Records Blockchain,http://madhacks-heartbleed.devpost.com/submissions/78132-medical-records-blockchain,,34
HealthClassifier,http://madhacks-heartbleed.devpost.com/submissions/78152-healthclassifier,,35
BotDoc,http://madhacks-heartbleed.devpost.com/submissions/78170-botdoc,,36
